,ISO_A3,ai_blds_2024,blds_total,ai_percentage,ai_per_roun,non_ai_blds_2024,total_OSM_users,avg_OSM_users_month,pop_2022,hdi_2021,disaster_death_per_100k,disaster_death,hdi_2021_norm,disaster_death_per_100k_norm,avg_OSM_users_month_norm
139,NPL,2838.0,7800735.0,0.03638118715736401,0.036,7797897.0,6662.0,333.1,30547580.0,0.602,4.249109095,1298.0,-0.4990597099481607,-0.07421654417078263,0.1404208339342397
140,LSO,111.0,986011.0,0.011257480900314499,0.011,985900.0,604.0,30.2,2305825.0,0.514,0.086736851,2.0,-0.9933711992867772,-0.3176351300480264,-0.35144988774363267
141,CMR,8890.0,2933810.0,0.30301894124023027,0.303,2924920.0,1626.0,81.3,27914536.0,0.576,1.626392787,454.0,-0.6451062863436612,-0.22759492011272683,-0.2684700466154079
142,GAB,544.0,360902.0,0.15073344010285342,0.151,360358.0,418.0,20.9,2388992.0,0.706,0.0,0.0,0.08512659563384073,-0.3227075647982581,-0.3665518940546403
143,NER,2843.0,929981.0,0.305705170320684,0.306,927138.0,1969.0,98.45,26207977.0,0.4,2.720545733,713.0,-1.633729265020894,-0.16360805223163774,-0.2406206478805928
144,BFA,1085.0,880639.0,0.1232059901957556,0.123,879554.0,1126.0,56.3,22673762.0,0.449,0.057334994,13.0,-1.3584876402755282,-0.3193545722395367,-0.30906683777403055
145,TGO,1976.0,1364963.0,0.1447658288173379,0.145,1362987.0,1303.0,65.15,8848699.0,0.539,0.12431206,11.0,-0.8529417989064882,-0.31543770422864986,-0.29469557370387817
146,GHA,1373.0,1398042.0,0.09820878056596297,0.098,1396669.0,2634.0,131.7,33475870.0,0.632,0.268850369,90.0,-0.33054442949181395,-0.30698499776238314,-0.1866269156396246
147,GNB,6256.0,64467.0,9.704189740487381,9.704,58211.0,186.0,9.3,2105566.0,0.483,0.142479504,3.0,-1.1675036557583354,-0.3143752587604776,-0.3853888051522412
149,CAN,345982.0,6322007.0,5.472660817996563,5.473,5976025.0,18521.0,926.05,38929902.0,0.936,2.368359417,922.0,1.3770770791324984,-0.18420416665403538,1.1032955266344522
150,MEX,5110.0,2766414.0,0.18471566439441095,0.185,2761304.0,7937.0,396.85,127504125.0,0.758,0.298029574,380.0,0.37721974842484174,-0.30527857642335926,0.24394265138872753
151,BLZ,0.0,153807.0,0.0,0.0,153807.0,469.0,23.45,405272.0,0.683,0.0,0.0,-0.04406845271602449,-0.3227075647982581,-0.3624110213564608
152,PAN,3306.0,169969.0,1.945060569868623,1.945,166663.0,915.0,45.75,4408581.0,0.805,2.154888387,95.0,0.6412270211397849,-0.19668810927191688,-0.32619868364296933
153,VEN,108654.0,382577.0,28.400557273437766,28.401,273923.0,1459.0,72.95,28301696.0,0.691,0.745538359,211.0,0.0008689554056673524,-0.27910793400439554,-0.2820293748623879
154,PNG,29.0,253140.0,0.01145611124279055,0.011,253111.0,429.0,21.45,10142619.0,0.558,2.464846604,250.0,-0.7462154546174686,-0.17856152509340395,-0.3656587646491506
155,EGY,15017.0,281161.0,5.341067929051326,5.341,266144.0,4064.0,203.2,110990103.0,0.731,0.038742193,43.0,0.22555599601412968,-0.3204418928974719,-0.07052009292596377
156,YEM,569.0,430033.0,0.13231542695560575,0.132,429464.0,1365.0,68.25,33696614.0,0.455,4.44851818,1499.0,-1.3247845841842587,-0.06255495442427578,-0.28966157160020894
157,MRT,2767.0,453281.0,0.6104381167531839,0.61,450514.0,3842.0,192.1,4736139.0,0.556,0.57008462,27.0,-0.7574498066478917,-0.28936859752285404,-0.08854506820039222
